DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2]
7/16/2018,1,-7.4819
7/16/2018,2,-7.1217
7/16/2018,3,-7.7589
7/16/2018,4,-7.7911
7/16/2018,5,-4.9063
7/16/2018,6,73.7585
7/16/2018,7,142.3082
7/16/2018,8,451.5805
7/16/2018,9,658.3055
7/16/2018,10,823.2507
7/16/2018,11,939.0682
7/16/2018,12,1001.0710
7/16/2018,13,995.5128
7/16/2018,14,945.4803
7/16/2018,15,824.6852
7/16/2018,16,590.2455
7/16/2018,17,135.4155
7/16/2018,18,101.6276
7/16/2018,19,17.4817
7/16/2018,20,-5.9628
7/16/2018,21,-9.7168
7/16/2018,22,-8.1253
7/16/2018,23,-8.1430
