DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 20m [m/s]
7/16/2018,1,1.8283
7/16/2018,2,2.0980
7/16/2018,3,2.9600
7/16/2018,4,2.4613
7/16/2018,5,2.4907
7/16/2018,6,1.4767
7/16/2018,7,0.7780
7/16/2018,8,1.7896
7/16/2018,9,1.3305
7/16/2018,10,1.4377
7/16/2018,11,2.6650
7/16/2018,12,2.4727
7/16/2018,13,2.4929
7/16/2018,14,2.8021
7/16/2018,15,2.1536
7/16/2018,16,2.7723
7/16/2018,17,5.4033
7/16/2018,18,5.4453
7/16/2018,19,5.5393
7/16/2018,20,5.7333
7/16/2018,21,3.8739
7/16/2018,22,2.4018
7/16/2018,23,1.8003
