DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2]
1/16/2018,1,-2.3627
1/16/2018,2,-1.2897
1/16/2018,3,-0.6946
1/16/2018,4,0.2575
1/16/2018,5,0.1813
1/16/2018,6,0.4579
1/16/2018,7,-0.0693
1/16/2018,8,40.8607
1/16/2018,9,154.1058
1/16/2018,10,308.9263
1/16/2018,11,451.4003
1/16/2018,12,513.7508
1/16/2018,13,529.9395
1/16/2018,14,480.3592
1/16/2018,15,353.7713
1/16/2018,16,195.9397
1/16/2018,17,31.7082
1/16/2018,18,-9.6505
1/16/2018,19,-5.1352
1/16/2018,20,-2.7801
1/16/2018,21,-2.2296
1/16/2018,22,-1.5750
1/16/2018,23,-2.4601
